Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Aditya Birla Sl Mfg. Equity Fund Reg(G),Harish Krishnan,Eq Cons,1197.5,2.24,Open Ended,03-02-2015,Bse India Manufacturing Index Tri,-0.03,-6.94,2.26,25.74,29.54,18.48,20.44,,42.19,21.35,35.07,Automobile And Ancillaries,16.18,1.28,1.88,0.94,16.29,10.71,21.55,0.09,Large,11.49,High,1.13,TRUE,1.58,0,1,1,0,1,-1.57,19.46
Aditya Birla Sl Midcap Fund(G),Vishal Gajwani,Eq Mid,5930,1.87,Open Ended,03-10-2002,Nifty Midcap 150 Tri,-0.2,-8.34,1.24,21.79,31.3,17.91,22.8,14.35,9.14,66.62,21.86,Financials,13.26,1.12,1.66,0.86,15.71,23.05,19.21,0.09,Mega,11.65,High,1.14,TRUE,1.39,0,1,1,0,1,-2.43,18.35
Aditya Birla Sl Mnc Fund Reg(G),Chanchal Khandelwal,Eq Mnc,3889.1,2,Open Ended,27-12-1999,Nifty Mnc Tri,-1.34,-8.41,-2.81,17.23,20.27,11.28,11.44,10.34,24.66,30.82,43.18,Automobile And Ancillaries,10.16,1.06,1.65,0.61,12.44,25.82,12.57,0.12,Mega,8.62,Medium,0.91,TRUE,1.36,0,1,0,0,1,-4.19,11.02
Aditya Birla Sl Money Manager Fund(G),Kaustubh Gupta,Dt Mm,22772.2,0.35,Open Ended,13-10-2005,Crisil Money Market Index,0.64,1.79,3.7,7.73,7.58,6.67,6.09,6.92,,,, ,3.55,11.23,22.77,0.03,0.33,20.02,6.85,0.05,Mega,22.09,Low,20.21,TRUE,17,0,0,0,0,1,2.04,6.56
Aditya Birla Sl Multi Asset Allocation Fund Reg(G),Dhaval Gala,Hy Multi,3695.4,1.85,Open Ended,31-01-2023,Bse 200,-0.08,-3.57,2.45,16.2,,,,,38.99,12.33,13.12,Financials,7.08,1.26,1.86,1.53,9.2,2.71,16.2,0.11,Mega,8.76,Medium,,FALSE,1.56,0,1,1,1,1,-0.4,
Aditya Birla Sl Multi Cap Fund Reg(G),Abhinav Khandelwal,Eq Mlc,6297.6,1.83,Open Ended,07-05-2021,Nifty500 Multicap 50 - 25 - 25 Tri,-0.05,-5.61,1.83,22.54,25.92,16.71,,,43.7,24.39,28.81,Financials,13.46,1.28,1.86,0.87,13.94,4.45,19.62,0.08,Mega,12.32,Medium,1.2,TRUE,1.57,0,1,1,1,1,-1.28,16.71
Aditya Birla Sl Multi Index Fof Reg(G),Vinod Narayan Bhat,Fof Dom,17.9,0.63,Open Ended,17-10-2022,Nifty 500 Tri,-0.24,-4.19,0.67,18.13,21.6,,,,,,, ,9.05,1.16,1.67,1.67,12,3,18.13,0.03,Small,28.78,Medium,,FALSE,1.42,0,1,1,1,1,-1.25,
Aditya Birla Sl Nasdaq 100 Fof Reg(G),Dhaval Joshi,Fof Ovr,406.5,0.62,Open Ended,01-11-2021,Nasdaq 100 Tri,3.07,10.14,10.71,29.08,41.36,13.56,,,,,, ,20.19,1.4,2.27,1.14,16.88,3.96,21.32,0.02,Mid,46.9,High,0.8,FALSE,1.84,0,1,1,1,1,7.97,13.56
Aditya Birla Sl Nifty 200 Momentum 30 Etf,Priya Sridhar,Eq Etf,71.4,0.32,Open Ended,12-08-2022,Nifty200 Momentum 30 Tri,-4.02,-12.83,-7.5,20.64,31.63,,,,86.88,12.88,,Automobile And Ancillaries,11.49,0.8,1.18,1.24,22.12,3.18,20.64,0.02,Small,64.5,High,,FALSE,0.99,0,1,1,1,1,-8.12,
Aditya Birla Sl Nifty 200 Quality 30 Etf,Priya Sridhar,Eq Etf,54.8,0.3,Open Ended,12-08-2022,Nifty200 Quality 30 Tri,-2.1,-10.67,-0.02,14.05,23.52,,,,75.14,23.7,0.94,Technology,6.6,0.78,1.3,0.76,13.33,3.18,14.05,0.02,Small,46.83,Medium,,TRUE,1.04,0,1,1,1,1,-4.26,
Aditya Birla Sl Nifty 50 Equal Weight Index Fund Reg(G),Priya Sridhar,Eq Indx,342.4,1.02,Open Ended,08-06-2021,Nifty50 Equal Weight Tri,-1.61,-11.73,-3.13,9.78,20.38,15.71,,,95.9,3.65,,Financials,1.69,0.46,0.7,0.96,14.34,4.36,12.74,0.1,Mid,9.59,Medium,1.1,TRUE,0.58,0,1,0,1,1,-5.49,15.71
Aditya Birla Sl Nifty 50 Etf,Priya Sridhar,Eq Etf,2795.2,0.06,Open Ended,21-07-2011,Nifty 50 Tri,-1.61,-7.82,-1.25,10.39,16.49,12.94,15.71,12.37,98.61,1.24,,Financials,1.94,0.5,0.76,0.99,13.96,14.25,12.85,0.01,Mega,173.17,Medium,0.93,TRUE,0.63,0,1,0,0,1,-3.56,13.67
Aditya Birla Sl Nifty 50 Index Fund Reg(G),Priya Sridhar,Eq Indx,975,0.47,Open Ended,18-09-2002,Nifty 50 Tri,-1.65,-7.92,-1.46,9.9,15.9,12.3,15.04,11.42,98.52,1.24,,Financials,1.49,0.47,0.71,0.99,13.96,23.09,12.16,0.05,Large,21.06,Medium,0.88,TRUE,0.59,0,1,0,0,1,-3.68,12.92
Aditya Birla Sl Nifty Bank Etf,Priya Sridhar,Eq Etf,2694.6,0.17,Open Ended,23-10-2019,Nifty Bank Tri,-1.94,-3.56,-2.71,6.58,10.04,14.01,10.09,,86.41,13.57,,Financials,-1.69,0.22,0.32,1.08,17.36,5.99,10.23,0.03,Mega,38.71,High,0.81,FALSE,0.27,0,1,0,0,1,-2.74,12.05
Aditya Birla Sl Nifty Healthcare Etf,Priya Sridhar,Eq Etf,42,0.22,Open Ended,21-10-2021,Nifty Healthcare Index Tri,6.14,1.69,19.34,41.9,38.54,19.73,,,54.9,39.52,5.38,Healthcare,30.49,2.29,4.26,0.46,14.33,3.99,30.82,0.01,Small,190.45,Medium,1.38,TRUE,3.28,0,1,1,1,1,9.06,19.73
Aditya Birla Sl Nifty India Defence Index Fund Reg(G),Priya Sridhar,Eq Indx,408.7,1.06,Open Ended,30-08-2024,Nifty India Defence Tri,-2.72,-1.66,,,,,,,41.41,35.51,22.76,Capital Goods,,,,,,1.13,,,Mid,,,,FALSE,,0,0,0,1,0,-2.19,
Aditya Birla Sl Nifty It Etf,Priya Sridhar,Eq Etf,52.2,0.21,Open Ended,29-10-2021,Nifty It Tri,0.5,2.72,18.31,23.3,26.07,6.36,,,83.72,16.14,,Technology,15.88,1.01,1.83,0.75,19.5,3.97,14.83,0.01,Small,110.95,High,0.33,TRUE,1.42,0,1,1,1,1,7.18,6.36
Aditya Birla Sl Nifty Midcap 150 Index Fund Reg(G),Priya Sridhar,Eq Indx,298.1,1.01,Open Ended,05-04-2021,Nifty Midcap 150 Tri,1.52,-5.21,0.81,23.62,33.63,22.67,,,6.43,86.6,6.76,Financials,14.79,1.12,1.61,0.96,17.51,4.53,23.15,0.04,Mid,23.39,High,1.29,TRUE,1.37,0,1,1,1,1,-0.96,22.67
Aditya Birla Sl Nifty Next 50 Etf,Priya Sridhar,Eq Etf,63.2,0.17,Open Ended,18-12-2018,Nifty Next 50 Tri,-3.31,-11.43,-5.09,28.75,28.61,18.61,20.04,,88.01,11.73,,Financials,18.07,1.18,1.71,1.14,20.17,6.83,22.47,0.01,Small,169.12,High,0.92,FALSE,1.44,0,1,1,0,1,-6.61,19.32
Aditya Birla Sl Nifty Next 50 Index Fund Reg(G),Priya Sridhar,Eq Indx,167.1,0.88,Open Ended,18-02-2022,Nifty Next 50 Tri,-3.71,-11.9,-5.78,26.95,27.09,,,,88.49,11.79,,Financials,16.63,1.11,1.61,1.14,20.15,3.66,26.95,0.03,Mid,30.62,High,,FALSE,1.36,0,1,1,1,1,-7.13,
Aditya Birla Sl Nifty Pse Etf,Priya Sridhar,Eq Etf,32.1,0.2,Open Ended,17-05-2024,Nifty Pse,-5.53,-14.62,-10.1,,,,,,82.4,16.83,,Energy,,,,,,1.42,,,Small,,,,FALSE,,0,1,0,1,0,-10.08,
Aditya Birla Sl Nifty Sdl Apr 2027 Index Fund Reg(G),Bhupesh Bameta,Dt M&Ld,4168,0.5,Open Ended,28-01-2022,Nifty Sdl Apr 2027 Index,0.54,1.46,3.78,7.92,7.3,,,,,,, ,3.07,5.82,13.61,0.23,0.64,3.72,7.92,0.06,Mega,15.84,Low,,TRUE,9.72,0,0,0,1,1,1.93,
Aditya Birla Sl Nifty Sdl Plus Psu Bond Sep 2026 60 - 40 Index Fund Reg(G),Mohit Sharma,Dt M&Ld,9654.4,0.36,Open Ended,24-09-2021,Nifty Sdl Plus Psu Bond Sep 2026 60 - 40 Index,0.56,1.6,3.76,7.71,7.27,5.51,,,,,, ,3.07,6.89,16.28,0.18,0.52,4.06,6.61,0.05,Mega,21.42,Low,10.6,TRUE,11.58,0,0,0,1,1,1.97,5.51
Aditya Birla Sl Nifty Sdl Sep 2025 Index Fund Reg(G),Bhupesh Bameta,Dt Md,66.9,0.35,Open Ended,28-09-2022,Nifty Sdl Sep 2025 Index,0.55,1.53,3.51,7.39,7.11,,,,,,, ,3.07,8.07,18.6,0.07,0.41,3.05,7.39,0.05,Small,21.11,Low,,TRUE,13.34,0,0,0,1,1,1.86,
Aditya Birla Sl Nifty Sdl Sep 2027 Index Fund Reg(G),Harshil Suvarnkar,Dt Md,40.5,0.5,Open Ended,10-03-2023,Nifty Sdl Sep 2027 Index,0.56,1.45,3.9,8.22,,,,,,,, ,3.02,4.82,10.58,0.33,0.83,2.61,8.22,0.06,Small,16.44,Low,,TRUE,7.7,0,0,0,1,1,1.97,
Aditya Birla Sl Nifty Smallcap 50 Index Fund Reg(G),Priya Sridhar,Eq Indx,239.3,1.01,Open Ended,05-04-2021,Nifty Smallcap 50 Tri,0.15,-3.06,3.27,24.67,42.36,18.51,,,,15.06,84.84,Financials,15.9,1,1.47,1.04,21.08,4.53,21.59,0.04,Mid,24.43,High,0.88,FALSE,1.23,0,1,1,1,1,0.12,18.51
Aditya Birla Sl Overnight Fund Reg(G),Kaustubh Gupta,Dt On,8152.9,0.19,Open Ended,01-11-2018,Crisil Liquid Overnight Index,0.55,1.6,3.23,6.61,6.59,5.93,4.82,,,,, ,0.25,30.11,1.94,,0.01,6.96,5.79,0.03,Mega,34.79,Low,593,FALSE,16.02,0,0,0,0,1,1.79,5.38
Aditya Birla Sl Pharma & Healthcare Fund Reg(G),Dhaval Shah,Eq Phrm,854.3,2.29,Open Ended,10-07-2019,Bse Health Care Tri,4.38,-0.46,18.86,35.81,37.38,18.03,24.66,,35.72,37.65,24.45,Healthcare,26.26,2.29,4.19,0.41,12.36,6.27,26.17,0.06,Large,15.64,Medium,1.46,TRUE,3.24,0,1,1,0,1,7.59,21.34
Aditya Birla Sl Psu Equity Fund Reg(G),Dhaval Gala,Eq Them,5531.9,1.79,Open Ended,30-12-2019,Bse Psu Tri,-5.14,-12.65,-11,13.52,35.18,33.35,25.91,,65.15,21.23,8.79,Energy,6.27,0.51,0.69,1.4,26.18,5.8,24.26,0.13,Mega,7.55,High,1.27,FALSE,0.6,0,1,1,0,1,-9.6,29.63
Aditya Birla Sl Pure Value Fund(G),Kunal Sangoi,Eq Val,6377.8,1.87,Open Ended,27-03-2008,Nifty 500 Tri,-0.39,-6.85,1.68,18.74,31.08,21.36,22.18,12.71,43.85,14.49,40.59,Financials,10.23,0.88,1.22,1.08,17.9,17.57,18.75,0.1,Mega,10.02,High,1.19,FALSE,1.05,0,1,1,0,1,-1.85,18.75
Aditya Birla Sl Quant Fund Reg(G),Harish Krishnan,Eq Them,2593.9,1.95,Open Ended,28-06-2024,Nifty 200 Tri,0.95,-10.13,-4.3,,,,,,48.02,51.3,,Energy,,,,,,1.3,,,Mega,,,,FALSE,,0,0,0,1,0,-4.49,
Aditya Birla Sl Regular Savings Fund(G),Mohit Sharma,Hy Dt(Co),1410.6,1.91,Open Ended,22-05-2004,Crisil Hybrid 85+15 Conservative Index,0.15,0.21,4.14,10.51,10.1,8.55,9.55,8.44,14.27,2.73,4.3,Financials,3.91,1.85,2.85,0.8,3.4,21.42,9.26,0.18,Large,5.5,Low,2.51,TRUE,2.35,0,0,0,0,1,1.5,8.85
Aditya Birla Sl Retirement Fund 30 Reg(G),Jonas Bhutta,Hy Sol,401.3,2.41,Open Ended,11-03-2019,Nifty 500 Tri,-0.86,-6.13,2.16,17.79,20.23,13.33,13.26,,53.46,18.44,24.97,Financials,6.98,0.98,1.4,2.32,14.1,6.61,14.79,0.14,Mid,7.38,Medium,0.95,FALSE,1.19,0,1,1,0,1,-1.61,13.3
Aditya Birla Sl Retirement Fund 40 Reg(G),Chanchal Khandelwal,Hy Sol,113,2.38,Open Ended,11-03-2019,Crisil Hybrid 35+65 Aggressive Index,1.88,-1.48,5.31,17.51,18.83,12.36,12.31,,44.86,13.81,15.7,Financials,7.64,1.22,1.8,1.86,10.72,6.61,14.06,0.14,Mid,7.36,Medium,1.15,FALSE,1.51,0,1,1,0,1,1.9,12.34
Aditya Birla Sl Retirement Fund 50 Plus Debt Plan Reg(G),Harshil Suvarnkar,Hy Sol,15.7,2.07,Open Ended,11-03-2019,Crisil Short Term Bond Index,0.38,0.93,3.03,6.08,5.59,4.04,4.05,,,,, ,0.91,2.62,5.62,0.36,0.76,6.61,4.72,0.34,Small,2.94,Low,5.32,TRUE,4.12,0,0,0,0,0,1.45,4.04
Aditya Birla Sl Retirement Fund 50 Reg(G),Mohit Sharma,Hy Sol,25.9,1.91,Open Ended,11-03-2019,Crisil Short Term Debt Hybrid 75+25 Index,0.02,-0.64,3.32,9.17,9.65,6.91,6.03,,14.85,4.05,5.65,Financials,2.44,1.4,2.07,0.87,3.61,6.61,7.37,0.21,Small,4.8,Low,1.91,TRUE,1.74,0,0,0,0,0,0.9,6.47
Aditya Birla Sl Savings Fund Reg(G),Kaustubh Gupta,Dt Usd,16348.8,0.55,Open Ended,16-04-2003,Nifty Ultra Short Duration Debt Index,0.71,1.95,3.83,7.81,7.5,6.59,6.12,7.19,,,, ,3.68,11.46,22.34,0.02,0.33,22.52,6.93,0.07,Mega,14.2,Low,19.97,TRUE,16.9,0,0,0,0,1,2.16,6.63
Aditya Birla Sl Short Term Fund(G),Kaustubh Gupta,Dt Sd,8598.7,1.01,Open Ended,09-05-2003,Nifty Short Duration Debt Index,0.59,1.58,4.04,7.92,7.37,6.3,6.71,7.38,,,, ,2.6,5.09,10.33,0.39,0.74,22.45,7.08,0.13,Mega,7.84,Low,8.51,TRUE,7.71,0,0,0,0,1,2.07,6.8
Aditya Birla Sl Silver Etf,Sachin Wankhede,Gold Etf,485.1,0.35,Open Ended,31-01-2022,Silver,-3.79,-4.5,-2.11,16.03,10.03,,,,,,, ,12.22,0.62,1.07,0.71,22.99,3.71,16.03,0.02,Mid,45.8,High,,TRUE,0.84,0,1,1,1,1,-3.47,
Aditya Birla Sl Silver Etf Fof Reg(G),Priya Sridhar,Fof Dom,174,0.67,Open Ended,03-02-2022,Silver,-3.44,-4.2,-2.17,15.15,11.08,,,,,,, ,11.64,0.6,1.07,0.57,22.26,3.7,15.15,0.04,Mid,22.61,High,,TRUE,0.84,0,1,1,1,1,-3.27,
Aditya Birla Sl Small Cap Fund(G),Abhinav Khandelwal,Eq Sml,5159.6,1.89,Open Ended,31-05-2007,Bse 250 Small Cap Tri,-0.15,-5.34,0.74,21.83,30.5,17.09,23.3,14.37,0.41,11.74,83.3,Capital Goods,13.89,1.05,1.52,0.82,17.21,18.39,19.15,0.09,Mega,11.55,High,0.99,TRUE,1.28,0,1,1,0,1,-1.58,18.25
Aditya Birla Sl Special Opp Fund Reg(G),Dhaval Gala,Eq Them,778.6,2.38,Open Ended,23-10-2020,Bse 500 Tri,-0.59,-6.55,2.6,21.81,24.13,15.35,,,50.79,18.37,26.35,Financials,12.55,1.19,1.77,0.92,14.45,4.98,18.58,0.11,Large,9.16,Medium,1.06,TRUE,1.48,0,1,1,1,1,-1.51,15.35
Aditya Birla Sl Transportation And Logistics Fund Reg(G),Dhaval Gala,Eq Auto,1567.7,2.07,Open Ended,17-11-2023,Nifty Transportation & Logistics Tri,-1.73,-13.54,-6.18,24.95,,,,,65.99,9.56,21.39,Automobile And Ancillaries,15.5,1.21,1.87,0.93,16.73,1.92,24.95,0.08,Large,12.05,High,,TRUE,1.54,0,1,1,1,1,-7.15,
Aditya Birla Sl Us Treasury 1 3 Year Bond Etfs Fof Reg(G),Vighnesh Gupta,Dt Etf,85.2,0.23,Open Ended,31-10-2023,Bloomberg Us Treasury 1 3 Year Index,1.52,1.99,5.47,6.92,,,,,,,, ,2.39,1.14,2.17,0.14,2.48,1.96,6.92,0.03,Small,30.09,Low,,TRUE,1.65,0,0,0,1,1,2.99,
Aditya Birla Sl Us Treasury 3 10 Year Bond Etfs Fof Reg(G),Vighnesh Gupta,Dt Etf,185.4,0.2,Open Ended,31-10-2023,Bloomberg Us Treasury 3 10 Year Index,0.34,-0.9,4.94,4.22,,,,,,,, ,-2.04,0.06,0.11,0.8,5.15,1.96,4.22,0.05,Mid,21.1,Medium,,FALSE,0.08,0,0,0,1,1,1.46,
Axis Aggressive Hybrid Fund Reg(G),Jayesh Sundar,Hy Eq,1615.7,2.14,Open Ended,09-08-2018,Crisil Hybrid 35+65 Aggressive Index,-1.05,-5.16,2.69,15.08,15.27,8.1,12.28,,52.87,8.54,12.54,Financials,5.49,1.01,1.52,1.79,10.53,7.19,11.82,0.14,Large,7.05,Medium,0.77,FALSE,1.27,0,1,0,0,1,-1.17,10.19
Axis All Seasons Debt Fofs Reg(G),Devang Shah,Fof Dom,141.5,0.48,Open Ended,28-01-2020,Nifty Composite Debt Index,0.33,0.28,3.98,8.8,7.64,6.25,,,,,, ,1.03,2.07,3.47,1.17,2.16,5.72,7.52,0.05,Mid,18.33,Low,2.89,FALSE,2.77,0,0,0,0,1,1.53,6.25
Axis Arbitrage Fund Reg(G),Karthik Kumar,Hy Arb,5591.9,1,Open Ended,14-08-2014,Nifty 50 Arbitrage,0.64,1.8,3.41,7.52,7.22,6.21,5.29,5.79,49.3,17.04,5.93,Financials,3.55,3.46,8.08,-0.09,0.95,11.18,6.2,0.13,Mega,7.52,Low,6.54,TRUE,5.77,0,0,0,0,1,1.95,5.76
Axis Balanced Advantage Fund Reg(G),Jayesh Sundar,Hy Dyn,2599.2,1.99,Open Ended,01-08-2017,Nifty 50 Hybrid Composite Debt 50 - 50 Index,-0.25,-2.59,3.78,18,19.27,12.4,12.49,,54.72,7.13,4.7,Financials,7.99,1.45,2.17,1.69,8.88,8.21,14.3,0.11,Mega,9.05,Medium,1.4,FALSE,1.81,0,1,1,0,1,0.31,12.44
Axis Banking & Psu Debt Fund Reg(G),Aditya Pagaria,Dt B&Psu,13044.5,0.63,Open Ended,08-06-2012,Nifty Banking And Psu Debt Index,0.53,1.52,3.9,7.49,7.02,5.92,6.11,7.27,,,, ,2.67,5.9,12.28,0.24,0.57,13.36,6.7,0.08,Mega,11.89,Low,10.39,TRUE,9.09,0,0,0,0,1,1.98,6.43
Axis Bluechip Fund Reg(G),Shreyash Devalkar,Eq Lc,33547.4,1.57,Open Ended,05-01-2010,Bse 100 Tri,-0.41,-6.87,-0.36,14.29,16.59,8.72,13.1,11.72,85.44,4.31,,Financials,5.64,0.78,1.23,0.89,12.95,15.79,11.96,0.11,Mega,9.1,Medium,0.67,TRUE,1,0,1,0,0,1,-2.55,11.18
Axis Bse Sensex Etf,Karthik Kumar,Eq Etf,128.9,0.07,Open Ended,24-03-2023,Bse Sensex Tri,-1.62,-6.67,-0.81,9.77,,,,,99.19,0.72,,Financials,1.71,0.45,0.7,0.99,13.77,2.57,9.77,0.01,Mid,139.57,Medium,,TRUE,0.57,0,1,0,1,1,-3.03,
Axis Bse Sensex Index Fund Reg(G),Karthik Kumar,Eq Indx,46.8,0.7,Open Ended,27-02-2024,Bse Sensex Tri,-1.68,-6.85,-1.15,,,,,,99.11,0.71,,Financials,,,,,,1.64,,,Small,,,,FALSE,,0,0,0,1,0,-3.23,
Axis Business Cycles Fund Reg(G),Ashish Naik,Eq Them,2611.7,1.97,Open Ended,22-02-2023,Nifty 500 Tri,-0.31,-5.43,0.68,19.99,,,,,59.31,15.03,22.86,Financials,10.81,1.01,1.45,0.96,15.38,2.65,19.99,0.1,Mega,10.15,High,,TRUE,1.23,0,1,1,1,1,-1.69,
Axis Childrens Fund Compulsory Lock In Reg(G),Jayesh Sundar,Hy Sol,900.8,2.27,Open Ended,08-12-2015,Nifty 50 Hybrid Composite Debt 65 - 35 Index,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,,48.1,9.67,14.04,Financials,4.99,1,1.48,1.86,10.4,9.86,11.24,0.15,Large,6.48,Medium,0.66,FALSE,1.24,0,1,0,0,1,-0.46,9.5
Axis Childrens Fund No Lock In Reg(G),Jayesh Sundar,Hy Sol,900.8,2.27,Open Ended,08-12-2015,Nifty 50 Hybrid Composite Debt 65 - 35 Index,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,,48.1,9.67,14.04,Financials,4.99,1,1.48,1.86,10.4,9.86,11.24,0.15,Large,6.48,Medium,0.66,FALSE,1.24,0,1,0,0,1,-0.46,9.5
Axis Conservative Hybrid Fund Reg(G),Devang Shah,Hy Dt(Co),297.2,2.2,Open Ended,16-07-2010,Nifty 50 Hybrid Composite Debt 15 - 85 Index,-0.17,-1.72,2.22,7.53,8.18,5.58,8.13,6.75,19.38,0.91,1.88,Financials,0.43,0.94,1.51,1.02,3.62,15.26,7,0.29,Mid,3.42,Low,1.54,FALSE,1.23,0,0,0,0,0,0.11,6.82
Axis Consumption Fund Reg(G),Shreyash Devalkar,Eq Cons,4381.2,1.85,Open Ended,12-09-2024,Nifty India Consumption Tri,1.36,-5,,,,,,,62.52,14.35,8.76,Retail And Other Services,,,,,,1.09,,,Mega,,,,FALSE,,0,0,0,1,0,-1.82,
Axis Corp Bond Fund Reg(G),Devang Shah,Dt Corp,5999.8,0.91,Open Ended,13-07-2017,Nifty Corporate Bond Index,0.52,1.46,4.08,8.02,7.38,6.14,6.68,,,,, ,2.7,4.92,9.1,0.4,0.78,8.27,6.95,0.11,Mega,8.81,Low,7.87,TRUE,7.01,0,0,0,0,1,2.02,6.41
Axis Credit Risk Fund Reg(G),Devang Shah,Dt Cr,417,1.57,Open Ended,15-07-2014,Crisil Credit Risk Debt Index,0.49,1.66,4.06,8.02,7.51,6.33,6.61,6.82,,,, ,3.1,6.42,12.85,0.26,0.6,11.26,6.94,0.2,Mid,5.11,Low,10.55,TRUE,9.64,0,0,0,0,1,2.07,6.59
Axis Crisil Ibx 50 - 50 Gilt Plus Sdl June 2028 Index Fund Reg(G),Hardik Shah,Dt M&Ld,71.8,0.42,Open Ended,24-01-2023,Crisil Ibx 50 - 50 Gilt Plus Sdl Index June 2028,0.49,1.38,4.07,8.15,,,,,,,, ,2.67,4.09,9.13,0.41,0.95,2.73,8.15,0.05,Small,19.4,Low,,TRUE,6.61,0,0,0,1,1,1.98,
Axis Crisil Ibx 50 - 50 Gilt Plus Sdl Sep 2027 Index Fund Reg(G),Aditya Pagaria,Dt M&Ld,32,0.4,Open Ended,27-02-2023,Crisil Ibx 50 - 50 Gilt Plus Sdl Index September 2027,0.53,1.45,3.85,7.98,,,,,,,, ,2.82,5.1,10.99,0.32,0.74,2.64,7.98,0.05,Small,19.95,Low,,TRUE,8.04,0,0,0,1,1,1.94,
Axis Crisil Ibx 70 - 30 Cpse Plus Sdl April 2025 Index Fund Reg(G),Devang Shah,Dt Md,517.1,0.31,Open Ended,28-01-2022,Crisil Ibx 70 - 30 Cpse Plus Sdl April 2025,0.58,1.72,3.56,7.41,7.16,,,,,,, ,3.15,9.48,20.27,0.05,0.35,3.72,7.41,0.04,Large,23.9,Low,,TRUE,14.88,0,0,0,1,1,1.95,
Axis Crisil Ibx Sdl June 2034 Debt Index Fund Reg(G),Hardik Shah,Dt Ld,26.9,0.45,Open Ended,21-03-2024,Crisil Ibx Sdl Index June 2034,0.61,1.2,4.64,,,,,,,,, ,,,,,,1.57,,,Small,,,,FALSE,,0,0,0,1,0,2.15,
Axis Crisil Ibx Sdl May 2027 Index Fund Reg(G),Hardik Shah,Dt M&Ld,2219.8,0.31,Open Ended,23-02-2022,Crisil Ibx Sdl Index May 2027,0.54,1.5,3.94,8.38,7.58,,,,,,, ,3.35,5.11,10.97,0.24,0.8,3.65,8.38,0.04,Mega,27.03,Low,,TRUE,8.04,0,0,0,1,1,1.99,
Axis Crisil Ibx Aaa Bond Financial Services Sep 2027 Index Fund Reg(G),Aditya Pagaria,Dt M&Ld,133.5,0.25,Open Ended,22-11-2024,Crisil Ibx Aaa Financial Services Index Sep 2027,0.59,,,,,,,,,,, ,,,,,,0.9,,,Mid,,,,FALSE,,0,0,0,1,0,0.59,
Axis Crisil Ibx Aaa Bond Nbfc Jun 2027 Index Fund Reg(G),Aditya Pagaria,Dt M&Ld,642.5,0.52,Open Ended,24-09-2024,Crisil Ibx Aaa Nbfc Index Jun 2027,0.59,1.89,,,,,,,,,, ,,,,,,1.06,,,Large,,,,FALSE,,0,0,0,1,0,1.24,
Axis Crisil Ibx Aaa Bond Nbfc Hfc Jun 2027 Index Fund Reg(G),Aditya Pagaria,Dt Sd,,,Open Ended,11-12-2024,Crisil Ibx Aaa Nbfc Hfc Index Jun 2027,,,,,,,,,,,, ,,,,,,0.85,,,,,,,FALSE,,0,0,0,1,0,,
Axis Dynamic Bond Fund Reg(G),Devang Shah,Dt Dyn,1602.2,0.56,Open Ended,27-04-2011,Nifty Composite Debt Index,0.36,0.45,4.05,8.42,7.47,5.65,6.57,7.34,,,, ,1.97,2.55,4.12,0.77,1.66,14.48,7,0.07,Large,15.04,Low,3.4,TRUE,3.34,0,0,0,0,1,1.62,6.52
Axis Elss Tax Saver Fund Reg(G),Shreyash Devalkar,Eq Elss,36373.2,1.53,Open Ended,29-12-2009,Nifty 500 Tri,-0.08,-6.51,1.58,17.89,20.9,8.77,14.02,12.48,70.78,21.97,2.97,Financials,9.3,1.04,1.66,0.8,12.84,15.81,13.29,0.09,Mega,11.69,Medium,0.68,TRUE,1.35,0,1,0,0,1,-1.67,11.76
Axis Equity Etfs Fof Reg(G),Karthik Kumar,Eq Etf,24.8,0.7,Open Ended,24-02-2022,Nifty 500 Tri,-2.53,-11.5,-5.46,11.27,18.54,,,,,,, ,3,0.63,1,1.59,12.16,3.64,11.27,0.06,Small,16.1,Medium,,FALSE,0.82,0,1,0,1,1,-6.5,
Axis Equity Savings Fund Reg(G),Mayank Hyanki,Hy Eq,1014.6,2.25,Open Ended,14-08-2015,Nifty 50 Equity Savings Index,0.14,-1.23,3.34,11.38,13.14,8.59,10.02,,54.71,6.98,6.15,Financials,3.63,1.19,1.75,1.12,5.77,10.18,10,0.2,Large,5.06,Medium,1.49,FALSE,1.47,0,0,0,0,1,0.75,9.3
Axis Esg Integration Strategy Fund Reg(G),Vishal Agarwal,Eq Them,1334.4,2.22,Open Ended,12-02-2020,Nifty100 Esg Tri,-0.98,-7.31,2.4,16.38,20.27,8.43,,,79.26,6.84,3.17,Financials,8.19,1.01,1.65,0.75,11.77,5.68,12.4,0.14,Large,7.38,Medium,0.72,TRUE,1.33,0,1,0,0,1,-1.96,8.43
